Title,Alternative title,Id
Blue Submarine No. 6,Ao no 6-gou,39229
BNA,,19028
Bocchi the Rock!,,33224
Bodacious Space Pirates,Mouretsu Pirates,7502
"Bofuri: I Don't Want to Get Hurt, So I'll Max Out My Defense",Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,18862
"Bofuri: I Don't Want to Get Hurt, So I'll Max Out My Defense. 2",Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,34848
Bokurano,Bokura no,23299
Boogiepop and Others,Boogiepop wa Warawanai,18190
Boogiepop Phantom,Boogiepop wa Warawanai: Boogiepop Phantom,30376
Bottom-Tier Character Tomozaki,Jaku Chara Tomozaki-kun,25956
Bottom-Tier Character Tomozaki 2nd Stage,Jaku-Chara Tomozaki-kun 2nd Stage,39606
Brave 10,,23242
Brave Bang Bravern!,Yuuki Bakuhatsu Bang Bravern,39651
Brave Witches,,7165
Brigadoon Marin to Melan,,22970
Broken Blade,Break Blade,21747
Btooom!,,1804
Bubblegum Crash!,,23077
Bubblegum Crisis,Bubblegum Crisis 2033,8078
Bubblegum Crisis: Tokyo 2040,,23050
Bucchigiri?!,,39707
Buddy Complex,,13705
Buddy Daddies,,34910
Build Divide: Code Black,Build-Divide -#000000- Code Black,30260
Build Divide: Code White,Build Divide -#FFFFFF- Code White,30287
Bullbuster,,38726
Bungo Stray Dogs,,26932
Bungou Stray Dogs Wan!,,20712
Burn the Witch,,39233
Burn Up Excess,,10652
Burn-Up Scramble,Burn Up Scramble,10581
Burn-Up W,,10594
Burst Angel,Bakuretsu Tenshi,22757
Burst Angel: Infinity,Bakuretsu Tenshi: Infinity,23535
Butareba: The Story of a Man Turned into a Pig,Buta no Liver wa Kanetsu Shiro,38357
By the Grace of the Gods 2,Kami-tachi ni Hirowareta Otoko 2,34858
C3: Cube x Cursed x Curious,,23
Cagaster of an Insect Cage,Mushikago no Cagaster,38914
California Crisis: Tsuigeki no Hibana,,23539
Caligula,,19701
Call of the Night,Yofukashi no Uta,30884
Campfire Cooking in Another World with My Absurd Skills,Tondemo Skill de Isekai Hourou Meshi,34897
Cannon Busters,,23623
Captain Earth,,14973
Cardcaptor Sakura,,2055
Cardcaptor Sakura: Clear Card,,14352
Cardfight!! Vanguard (2018),,36706
Cardfight!! Vanguard G,,33866
Cardfight!! Vanguard G GIRS Crisis,Cardfight!! Vanguard G: Girs Crisis Hen,34114
Cardfight!! Vanguard G: Next,,36774
Cardfight!! Vanguard G: Z,Cardfight!! Vanguard G Z,37018
Cardfight!! Vanguard Overdress,Cardfight!! Vanguard: Over Dress,24413
Cardfight!! Vanguard will+Dress Season 3,,37647
Cardfight!! Vanguard: DivineZ,,39687
Cardfight!! Vanguard: Will+Dress,,31328
Cardfight!! Vanguard: Will+Dress Season 2,,34957
Cardfight!! Vanguard: Zoku Koukousei Hen,,33980
Carnival Phantasm,,33786
Carole & Tuesday,,17300
Casshern Sins,,26156
Cat Planet Cuties,Asobi ni Iku yo!,25930
Cat's Eye,,23255
Cat's Eye Season 2,Cat's Eye (1984),23323
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru,18436
Celestial Method,Sora no Method,25659
Cells at Work! Code Black,Hataraku Saibou Black,20580
Cerberus,Seisen Cerberus: Ryuukoku no Fatalite,26336
Cestvs: The Roman Fighter,,23676
Chaika - The Coffin Princess Avenging Battle,Hitsugi no Chaika Avenging Battle,7076
Chain Chronicle: The Light of Haecceitas,,8429
Chained Soldier,Mato Seihei no Slave,39640
Chainsaw Man,,33139
Chaos Dragon: Sekiryuu Seneki,,2926
Chaos;Child,,8523
Charlotte,,2292
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,39629
Children of the Whales,Kujira no Kora wa Sajou ni Utau,14720
