Title,Season,Id
Q-Force,1,7867
Quantico,1,27375
Rambo,1,11490
Randy Cunningham: 9th Grade Ninja,1,28166
Randy Cunningham: 9th Grade Ninja,2,28266
Rayman: The Animated Series,1,9065
ReBoot,1,15703
ReBoot,2,15717
ReBoot,3,15733
ReBoot,4,15750
Regular Show,1,5718
Regular Show,2,5731
Regular Show,3,5760
Regular Show,4,5801
Regular Show,5,5840
Regular Show,6,5878
Regular Show,7,5907
Regular Show,8,5944
Ren & Stimpy 'Adult Party Cartoon',1,6892
Resident Evil: Infinite Darkness,1,28221
Rick and Morty,1,22478
Rick and Morty,2,22490
Rick and Morty,3,4294
Rick and Morty,4,4305
Rick and Morty,5,14528
Rick and Morty,6,21060
Rick and Morty,7,28048
Rise of the Teenage Mutant Ninja Turtles,1,16376
Rise of the Teenage Mutant Ninja Turtles,2,19607
Rocket Power,1,14676
Rocket Power,2,14737
Rocket Power,3,14793
Rocket Power,4,14828
Rocko's Modern Life,1,2571
Rocko's Modern Life,2,4918
Rocko's Modern Life,3,4954
Rocko's Modern Life,4,4998
Rocky & Bullwinkle & Friends,1,8646
Rocky & Bullwinkle & Friends,2,8756
Rocky & Bullwinkle & Friends,3,8889
Rome,1,136
Rome,2,410
Royal Crackers,1,28416
Rugrats (2021),1,21297
Rugrats (2021),2,21323
RWBY,1,19803
RWBY,2,25136
RWBY,3,25193
RWBY,4,25229
RWBY,5,25260
RWBY,6,25328
RWBY,7,25287
RWBY,8,25309
RWBY,9,25301
Sabrina's Secret Life,1,24193
Sabrina: The Animated Series,1,24220
Samurai Jack,1,122
Samurai Jack,2,182
Samurai Jack,3,217
Samurai Jack,4,396
Samurai Jack,5,385
Samurai Rabbit: The Usagi Chronicles,1,16585
Scissor Seven,1,4082
Scissor Seven,2,4097
Scissor Seven,3,22774
Scissor Seven,4,22797
Scooby-Doo and Guess Who?,1,9048
Scooby-Doo and Guess Who?,2,9086
Scooby-Doo and Guess Who?,3,9114
Scooby-Doo! Mystery Incorporated,1,20355
Scooby-Doo! Mystery Incorporated,2,20382
Scott Pilgrim Takes Off,1,24312
Secret Invasion,1,22451
She-Hulk: Attorney at Law,1,18613
She-Ra and the Princesses of Power,1,4411
She-Ra and the Princesses of Power,2,4425
She-Ra and the Princesses of Power,3,2723
She-Ra and the Princesses of Power,5,4433
Shin-chan,1,16191
Shin-chan,2,16218
Shin-chan,3,16245
Shōgun,1,28405
Sidekick,1,24097
Silver Surfer,1,21632
Skull Island,1,22263
Skyland,1,6526
Solar Opposites,1,3758
Solar Opposites,2,11048
Solar Opposites,3,17531
Sonic Boom,1,8172
Sonic Boom,2,8471
South Park,11,3638
South Park Specials,,24877
Spartacus,1,12748
Spartacus,2,12815
Spartacus,3,12855
